"","movieId","title","genres","average_rating"
"1",175661,"The Hitman's Bodyguard (2017)","Action",4.29166666666667
"2",175661,"The Hitman's Bodyguard (2017)","Comedy",4.29166666666667
"3",4020,"Gift, The (2000)","Thriller",3.25
"4",2865,"Sugar Town (1999)","Comedy",3
"5",73232,"Girl in the Park, The (2007)","Drama",4
"6",2878,"Hell Night (1981)","Horror",2.3
"7",2348,"Sid and Nancy (1986)","Drama",3.47826086956522
"8",5410,"Silent Running (1972)","Drama",3.25
"9",5410,"Silent Running (1972)","Sci-Fi",3.25
"10",31359,"Moolaadé (2004)","Drama",2.75
"11",192389,"Venom (2018)","Action",3.4
"12",192389,"Venom (2018)","Horror",3.4
"13",192389,"Venom (2018)","Sci-Fi",3.4
"14",192389,"Venom (2018)","Thriller",3.4
"15",2561,"True Crime (1999)","Crime",2.77777777777778
"16",2561,"True Crime (1999)","Thriller",2.77777777777778
"17",107196,"Is the Man Who Is Tall Happy? (2013)","Animation",3
"18",107196,"Is the Man Who Is Tall Happy? (2013)","Documentary",3
"19",237,"Forget Paris (1995)","Comedy",3.17592592592593
"20",237,"Forget Paris (1995)","Romance",3.17592592592593
"21",7379,"The Alamo (2004)","Drama",2.5
"22",7379,"The Alamo (2004)","War",2.5
"23",7379,"The Alamo (2004)","Western",2.5
"24",1002,"Ed's Next Move (1996)","Comedy",4.16666666666667
"25",1002,"Ed's Next Move (1996)","Romance",4.16666666666667
"26",1343,"Cape Fear (1991)","Thriller",3.45631067961165
"27",2685,"Red Dwarf, The (Nain rouge, Le) (1998)","Comedy",5
"28",2685,"Red Dwarf, The (Nain rouge, Le) (1998)","Drama",5
"29",8982,"I Am David (2003)","Drama",3.7
"30",2511,"Long Goodbye, The (1973)","Crime",3.72727272727273
"31",2511,"Long Goodbye, The (1973)","Film-Noir",3.72727272727273
"32",427,"Boxing Helena (1993)","Drama",2.725
"33",427,"Boxing Helena (1993)","Mystery",2.725
"34",427,"Boxing Helena (1993)","Romance",2.725
"35",427,"Boxing Helena (1993)","Thriller",2.725
"36",32285,"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare) (2003)","Comedy",2
"37",32285,"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare) (2003)","Musical",2
